						
	tim	Обратный отсчёт, с:			25	
	ab3	абилка 3. Точечный урон холодом, процент			33	При активации, под оружием отображается разброс атаки учитывающий процент абилки. При ударе (нажатие на противника) наноситься урон выбранному противнику. Ответную атаку наносит только атакованный миньон и миньоны тип1
	ab4	абилка4. Точечный урон космосом, процент			12	При активации, под оружием отображается разброс атаки учитывающий процент абилки. При ударе (нажатие на противника) наноситься урон выбранному противнику. Ответную атаку наносит только атакованный миньон и миньоны тип1
						
	ab5	абилка 5. Отскок огня (только для оружия тип3)				При активации, под оружием отображается разброс атаки учитывающий процент абилки2. При ударе (нажатие на противника) наноситься урон выбранному противнику, а также ещё одному случайному и ещё нескольким в зависимости от удачи (0-100 удачи это вероятность нанести ещё одному с вероятностью от 0 до 100, 101-200 ещё одному с вероятностью от 0 до 100, 201-300 ещё и так далее). Ответную атаку наносит только первый атакованный миньон и миньоны тип1
	ab6	абилка 6. Разделение зелени (только для оружия тип1)				При активации, под оружием отображается разброс атаки учитывающий процент абилки1. При ударе (нажатие на противника) наноситься урон выбранному противнику, а также ещё одному случайному на этой же позиции (если есть) и ещё одному на этой позиции в зависимости от удачи (0-100 удачи это вероятность нанести ещё одному с вероятностью от 0 до 100) (если есть)
	ab7	абилка 5. Проникновение холода (только для оружия тип 2)				При активации, под оружием отображается разброс атаки учитывающий процент абилки3. При ударе (нажатие на противника) наноситься урон выбранному противнику, а также ещё одному случайному на следующей позиции (если есть) и ещё нескольким если есть на следующих позициях, в зависимости от удачи (0-100 удачи это вероятность нанести ещё одному с вероятностью от 0 до 100, 101-200 удачи ещё одному с вероятностью от 0 до 100, 201-300 удачи ещё и так далее)
	ab8	абилка 5. Обновление				При активации, под оружием отображается 0-0. При ударе по противнику у него меняется стихия на случайную. Эта абилка тратит 2 количества ударов
						
						
						
						
						
						
						
						
						
						
	k11	коэффициент при атаке зеленью (1) на зелень (1)		1	12	
	k12	коэффициент при атаке зеленью (1) на огонь (2)		0,5	6	
	k13	коэффициент при атаке зеленью (1) на холод (3)		0,3	4	
	k14	коэффициент при атаке зеленью (1) на космос (4)		0,2	2	
	k21	коэффициент при атаке огнем (2) на зелень (1)		2	15	
	k22	коэффициент при атаке огнем (2) на огонь (2)		1	8	
	k23	коэффициент при атаке огнем (2) на холод (3)		0,5	4	
	k24	коэффициент при атаке огнем (2) на космос (4)		0,3	2	
	k31	коэффициент при атаке холодом (3) на зелень (1)		4	18	
	k32	коэффициент при атаке холодом (3) на огонь (2)		2	9	
	k33	коэффициент при атаке холодом (3) на холод (3)		1	5	
	k34	коэффициент при атаке холодом (3) на космос (4)		0,5	2	
	k41	коэффициент при атаке космосом (4) на зелень (1)		8	13	
	k42	коэффициент при атаке космосом (4) на огонь (2)		4	7	
	k43	коэффициент при атаке космосом (4) на холод (3)		2	3	
	k44	коэффициент при атаке космосом (4) на космос (4)		1	2	
